                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.565,                 1.8758,                 1.2268,                0.40962,                0.37075,                0.34733,                0.21548,                 1.2492,                0.95475,                 1.0848,               0.070319,              0.0032979,              0.0032979
                      1,                 1.2954,                 1.0311,                 1.0543,                 0.6369,                0.53445,                0.58149,                0.34828,                 1.1844,                0.84548,                 1.0547,               0.039991,               0.006303,               0.006303
                      2,                  1.348,                 0.9678,                 1.0616,                0.58436,                0.32733,                0.36882,                0.19408,                 1.5168,                  1.615,                 1.2031,              0.0093327,               0.008978,               0.008978
                      3,                  1.311,                0.93169,                 1.0516,                0.67697,                0.62957,                 0.6914,                0.40257,                 1.2728,                0.89276,                 1.1001,               0.008515,               0.008515,               0.008515
                      4,                 1.2765,                0.83257,                 1.0382,                0.69436,                0.68968,                0.69831,                0.39767,                 1.3397,                0.83263,                  1.128,               0.008515,               0.008515,               0.008515
                      5,                 1.2286,                0.79176,                 1.0193,                0.72517,                0.75687,                0.77005,                0.47664,                 1.1299,                0.66283,                 1.0344,                0.00802,                0.00802,                0.00802
                      6,                 1.1966,                0.73835,                 1.0129,                0.76393,                0.77277,                0.78276,                0.48978,                 1.1195,                0.66983,                 1.0286,               0.007525,               0.007525,               0.007525
                      7,                 1.1765,                0.70579,                 1.0063,                  0.807,                0.77515,                 0.8096,                0.51187,                 1.0812,                0.59512,                 1.0132,                0.00703,                0.00703,                0.00703
                      8,                 1.1542,                0.68422,                 1.0016,                0.81191,                0.76641,                0.80539,                0.51513,                 1.0958,                0.61127,                 1.0104,               0.006535,               0.006535,               0.006535
                      9,                 1.1378,                0.66933,                0.99321,                0.80169,                0.77983,                0.81094,                0.51903,                  1.075,                0.58325,                 1.0109,                0.00604,                0.00604,                0.00604
                     10,                 1.0938,                0.64143,                 1.0056,                  0.765,                0.80279,                0.80779,                0.51405,                 1.0582,                0.59678,                 1.0029,               0.005545,               0.005545,               0.005545
                     11,                 1.0887,                0.62918,                0.99665,                0.79851,                0.77476,                0.80793,                0.52283,                 1.0467,                 0.5868,                0.99481,                0.00505,                0.00505,                0.00505
                     12,                 1.0757,                0.61512,                0.99688,                0.82722,                 0.7716,                0.81629,                 0.5292,                 1.0436,                0.57309,                0.99423,               0.004555,               0.004555,               0.004555
                     13,                 1.0631,                0.59236,                0.99379,                 0.7917,                0.80246,                0.80635,                0.53189,                  1.042,                0.56949,                0.99542,                0.00406,                0.00406,                0.00406
                     14,                 1.0598,                0.58796,                0.98738,                0.82409,                0.78702,                0.81023,                 0.5331,                 1.0259,                0.55677,                  0.986,               0.003565,               0.003565,               0.003565
                     15,                  1.049,                0.57506,                 0.9826,                0.81652,                0.77782,                0.81856,                0.53501,                 1.0326,                0.54971,                 0.9858,                0.00307,                0.00307,                0.00307
                     16,                 1.0386,                0.56266,                0.97673,                0.80985,                0.79688,                0.81755,                 0.5363,                 1.0155,                0.53628,                0.97969,               0.002575,               0.002575,               0.002575
                     17,                 1.0272,                0.55107,                0.97637,                 0.8121,                0.81318,                0.82161,                0.54574,                 1.0099,                0.53155,                0.97856,                0.00208,                0.00208,                0.00208
                     18,                 1.0222,                 0.5422,                0.96906,                0.79789,                0.81704,                 0.8181,                0.55467,                  1.001,                0.51869,                0.97521,               0.001585,               0.001585,               0.001585
                     19,                 1.0131,                 0.5297,                0.96763,                0.83498,                 0.7963,                0.82581,                0.55021,                 1.0011,                 0.5157,                0.97417,                0.00109,                0.00109,                0.00109
